time,x,y,z
0.003,-0.01026,0.01197,0.96819
0.008,-0.01026,0.01197,0.96819
0.018,-0.01026,0.01197,0.96819
0.028,-0.01026,0.01197,0.96819
0.038,-0.01490,0.01637,0.97380
0.049,-0.01490,0.01637,0.97380
0.058,-0.01490,0.01637,0.97380
0.068,-0.01490,0.01637,0.97380
0.079,-0.01490,0.01637,0.97380
0.088,-0.01490,0.01637,0.97380
0.098,-0.00953,0.01539,0.96843
0.108,-0.00953,0.01539,0.96843
0.118,-0.00953,0.01539,0.96843
0.128,-0.00953,0.01539,0.96843
0.138,-0.00953,0.01539,0.96843
0.148,-0.00953,0.01539,0.96843
0.158,-0.00953,0.01539,0.96843
0.168,-0.01515,0.01002,0.97820
0.178,-0.01515,0.01002,0.97820
0.188,-0.01515,0.01002,0.97820
0.198,-0.01515,0.01002,0.97820
0.208,-0.01515,0.01002,0.97820
0.218,-0.01515,0.01002,0.97820
0.228,-0.01246,0.01710,0.97234
0.238,-0.01246,0.01710,0.97234
0.248,-0.01246,0.01710,0.97234
0.258,-0.01246,0.01710,0.97234
0.268,-0.01246,0.01710,0.97234
0.278,-0.01246,0.01710,0.97234
0.288,-0.01246,0.01710,0.97234
0.298,-0.01124,0.01075,0.97356
0.308,-0.01124,0.01075,0.97356
0.318,-0.01124,0.01075,0.97356
0.328,-0.01124,0.01075,0.97356
0.338,-0.01124,0.01075,0.97356
0.348,-0.01124,0.01075,0.97356
0.358,-0.00953,0.01417,0.97967
0.368,-0.00953,0.01417,0.97967
0.378,-0.00953,0.01417,0.97967
0.388,-0.00953,0.01417,0.97967
0.398,-0.00953,0.01417,0.97967
0.408,-0.00953,0.01417,0.97967
0.418,-0.00953,0.01417,0.97967
0.428,-0.01099,0.01270,0.97234
0.438,-0.01099,0.01270,0.97234
0.448,-0.01099,0.01270,0.97234
0.458,-0.01099,0.01270,0.97234
0.468,-0.01099,0.01270,0.97234
0.478,-0.01099,0.01270,0.97234
0.488,-0.01099,0.01270,0.97234
0.498,-0.01124,0.01319,0.97820
0.508,-0.01124,0.01319,0.97820
0.518,-0.01124,0.01319,0.97820
0.528,-0.01124,0.01319,0.97820
0.538,-0.01124,0.01319,0.97820
0.548,-0.01124,0.01319,0.97820
0.558,-0.01222,0.01124,0.97307
0.568,-0.01222,0.01124,0.97307
0.580,-0.01222,0.01124,0.97307
0.588,-0.01222,0.01124,0.97307
0.598,-0.01222,0.01124,0.97307
0.608,-0.01222,0.01124,0.97307
0.618,-0.01222,0.01124,0.97307
0.628,-0.01051,0.01124,0.98333
0.638,-0.01051,0.01124,0.98333
0.648,-0.01051,0.01124,0.98333
0.658,-0.01051,0.01124,0.98333
0.668,-0.01051,0.01124,0.98333
0.678,-0.01051,0.01124,0.98333
0.688,-0.01124,0.01222,0.97478
0.698,-0.01124,0.01222,0.97478
0.708,-0.01124,0.01222,0.97478
0.718,-0.01124,0.01222,0.97478
0.728,-0.01124,0.01222,0.97478
0.738,-0.01124,0.01222,0.97478
0.748,-0.01124,0.01222,0.97478
0.758,-0.01148,0.01466,0.97356
0.768,-0.01148,0.01466,0.97356
0.778,-0.01148,0.01466,0.97356
0.788,-0.01148,0.01466,0.97356
0.798,-0.01148,0.01466,0.97356
0.808,-0.01148,0.01466,0.97356
0.818,-0.01197,0.01270,0.98236
0.828,-0.01197,0.01270,0.98236
0.838,-0.01197,0.01270,0.98236
0.848,-0.01197,0.01270,0.98236
0.858,-0.01197,0.01270,0.98236
0.868,-0.01197,0.01270,0.98236
0.880,-0.01197,0.01270,0.98236
0.888,-0.01002,0.01686,0.97429
0.898,-0.01002,0.01686,0.97429
0.908,-0.01002,0.01686,0.97429
0.918,-0.01002,0.01686,0.97429
0.928,-0.01002,0.01686,0.97429
0.938,-0.01002,0.01686,0.97429
0.948,-0.01124,0.01099,0.97332
0.958,-0.01124,0.01099,0.97332
0.968,-0.01124,0.01099,0.97332
0.980,-0.01124,0.01099,0.97332
0.988,-0.01124,0.01099,0.97332
0.998,-0.01124,0.01099,0.97332
1.008,-0.01124,0.01099,0.97332
1.018,-0.01539,0.01368,0.97552
1.028,-0.01539,0.01368,0.97552
1.038,-0.01539,0.01368,0.97552
1.048,-0.01539,0.01368,0.97552
1.058,-0.01539,0.01368,0.97552
1.068,-0.01539,0.01368,0.97552
1.078,-0.01515,0.01441,0.97014
1.088,-0.01515,0.01441,0.97014
1.098,-0.01515,0.01441,0.97014
1.108,-0.01515,0.01441,0.97014
1.118,-0.01515,0.01441,0.97014
1.128,-0.01515,0.01441,0.97014
1.138,-0.01515,0.01441,0.97014
1.148,-0.01441,0.01148,0.97649
1.158,-0.01441,0.01148,0.97649
1.168,-0.01441,0.01148,0.97649
